trajectory_id,method,seed,candidate_stage,rep,stress,year,action_id,edit_type,K,underwriting_result,loss_total,mu_hat_total,reward,discount,psi_z,psi_p,c_zonal,gamma_p,z_delta,decision_cost
30900053,Static Zoning,1010,0,53,historical,2021,KEEP|PRICE=0,KEEP,96,2427808.1544118486,16809240.787872083,17812082.353966605,2393386.7498978674,1.0,0.026653580808865544,0.0,0.3107129482046208,0.0,3.570663640715629e-18,34421.40451398106
30900053,Static Zoning,1010,0,53,historical,2022,KEEP|PRICE=0,KEEP,96,-2105004.8133479543,21392876.999240167,17859140.91286316,-2140588.919469293,0.97,0.027247704696844486,0.0,0.3107129482046208,0.011371554387576685,3.570663640715629e-18,35584.10612133884
30900053,Static Zoning,1010,0,53,historical,2023,KEEP|PRICE=0,KEEP,96,502707.5557934642,18993921.475166615,18052434.287926,464906.9524151788,0.9409,0.028753539396956185,0.0,0.3107129482046208,0.02558480552427265,3.570663640715629e-18,37800.60337828534
30900053,Static Zoning,1010,0,53,historical,2024,KEEP|PRICE=0,KEEP,96,2715387.3655694462,16808893.115334433,18078037.482318405,2678649.774583113,0.912673,0.02850660589516592,0.0,0.3107129482046208,0.00926322772104184,3.570663640715629e-18,36737.59098633354
30900053,Static Zoning,1010,0,53,historical,2025,KEEP|PRICE=0,KEEP,96,2599915.4483071975,16856489.17339621,18015189.464540195,2562262.4208559045,0.8852928099999999,0.0290784862621473,0.0,0.3107129482046208,0.016134349680605065,3.570663640715629e-18,37653.02745129308
30900054,Static Zoning,1010,0,54,historical,2021,KEEP|PRICE=0,KEEP,96,2369545.7857655026,16867503.15651843,17812082.353966605,2335124.3812515214,1.0,0.026653580808865544,0.0,0.3107129482046208,0.0,3.570663640715629e-18,34421.40451398106
30900054,Static Zoning,1010,0,54,historical,2022,KEEP|PRICE=0,KEEP,96,1996102.798453454,17291769.38743876,17859140.91286316,1960518.692332115,0.97,0.027247704696844486,0.0,0.3107129482046208,0.011371554387576685,3.570663640715629e-18,35584.10612133884
30900054,Static Zoning,1010,0,54,historical,2023,KEEP|PRICE=0,KEEP,96,-577005.018750295,20073634.049710374,18052434.287926,-614805.6221285803,0.9409,0.028753539396956185,0.0,0.3107129482046208,0.02558480552427265,3.570663640715629e-18,37800.60337828534
30900054,Static Zoning,1010,0,54,historical,2024,KEEP|PRICE=0,KEEP,96,192587.65079282224,19331692.830111057,18078037.482318405,155850.0598064887,0.912673,0.02850660589516592,0.0,0.3107129482046208,0.00926322772104184,3.570663640715629e-18,36737.59098633354
30900054,Static Zoning,1010,0,54,historical,2025,KEEP|PRICE=0,KEEP,96,2834973.856353231,16621430.765350178,18015189.464540195,2797320.8289019377,0.8852928099999999,0.0290784862621473,0.0,0.3107129482046208,0.016134349680605065,3.570663640715629e-18,37653.02745129308
30900055,Static Zoning,1010,0,55,historical,2021,KEEP|PRICE=0,KEEP,96,2354956.3309597187,16882092.611324213,17812082.353966605,2320534.9264457375,1.0,0.026653580808865544,0.0,0.3107129482046208,0.0,3.570663640715629e-18,34421.40451398106
