trajectory_id,method,seed,rep,stress,G0,selected_stage,adverse_return
30000091,Mean DQN,101,91,historical,2285786.3727969676,3,-2285786.3727969676
30000092,Mean DQN,101,92,historical,1744368.2132900713,3,-1744368.2132900713
30000093,Mean DQN,101,93,historical,4099009.3938875003,3,-4099009.3938875003
30000094,Mean DQN,101,94,historical,5449577.538417451,3,-5449577.538417451
30000095,Mean DQN,101,95,historical,11264216.488995153,3,-11264216.488995153
30000096,Mean DQN,101,96,historical,6669135.711312691,3,-6669135.711312691
30000097,Mean DQN,101,97,historical,6585939.494424345,3,-6585939.494424345
30000098,Mean DQN,101,98,historical,6057820.22704506,3,-6057820.22704506
30000099,Mean DQN,101,99,historical,11811688.86535035,3,-11811688.86535035
30000000,QR Mean,101,0,historical,7842351.293535016,4,-7842351.293535016
30000001,QR Mean,101,1,historical,7188244.869444497,4,-7188244.869444497
30000002,QR Mean,101,2,historical,8191232.798886943,4,-8191232.798886943
30000003,QR Mean,101,3,historical,9141306.47719947,4,-9141306.47719947
30000004,QR Mean,101,4,historical,3523348.270112604,4,-3523348.270112604
30000005,QR Mean,101,5,historical,4509375.421231245,4,-4509375.421231245
30000006,QR Mean,101,6,historical,3087596.34456654,4,-3087596.34456654
30000007,QR Mean,101,7,historical,4676063.714171594,4,-4676063.714171594
30000008,QR Mean,101,8,historical,5165481.250172485,4,-5165481.250172485
30000009,QR Mean,101,9,historical,6524132.088530496,4,-6524132.088530496
30000010,QR Mean,101,10,historical,10108324.191197071,4,-10108324.191197071
30000011,QR Mean,101,11,historical,8715313.516530227,4,-8715313.516530227
30000012,QR Mean,101,12,historical,6122524.974209724,4,-6122524.974209724
30000013,QR Mean,101,13,historical,7026191.767472391,4,-7026191.767472391
30000014,QR Mean,101,14,historical,10468066.757616883,4,-10468066.757616883
30000015,QR Mean,101,15,historical,-1056709.8141438495,4,1056709.8141438495
30000016,QR Mean,101,16,historical,2607062.656147809,4,-2607062.656147809
30000017,QR Mean,101,17,historical,4551139.661511962,4,-4551139.661511962
30000018,QR Mean,101,18,historical,6923371.770171849,4,-6923371.770171849
30000019,QR Mean,101,19,historical,11006506.899830112,4,-11006506.899830112
30000020,QR Mean,101,20,historical,5461138.319339851,4,-5461138.319339851
30000021,QR Mean,101,21,historical,2333027.7172507825,4,-2333027.7172507825
30000022,QR Mean,101,22,historical,6987143.108080989,4,-6987143.108080989
30000023,QR Mean,101,23,historical,12508363.770563696,4,-12508363.770563696
30000024,QR Mean,101,24,historical,8749184.525574304,4,-8749184.525574304
30000025,QR Mean,101,25,historical,14829335.38698066,4,-14829335.38698066
30000026,QR Mean,101,26,historical,8183882.312196804,4,-8183882.312196804
30000027,QR Mean,101,27,historical,7184362.862068541,4,-7184362.862068541
30000028,QR Mean,101,28,historical,4406569.882870252,4,-4406569.882870252
30000029,QR Mean,101,29,historical,2524220.479737879,4,-2524220.479737879
30000030,QR Mean,101,30,historical,11553623.183313627,4,-11553623.183313627
30000031,QR Mean,101,31,historical,7509622.227679128,4,-7509622.227679128
30000032,QR Mean,101,32,historical,4997747.005698128,4,-4997747.005698128
30000033,QR Mean,101,33,historical,13994220.124027304,4,-13994220.124027304
30000034,QR Mean,101,34,historical,10734464.972485995,4,-10734464.972485995
30000035,QR Mean,101,35,historical,5979472.57464397,4,-5979472.57464397
30000036,QR Mean,101,36,historical,7373962.338680945,4,-7373962.338680945
30000037,QR Mean,101,37,historical,7120593.062078601,4,-7120593.062078601
30000038,QR Mean,101,38,historical,5727509.205392955,4,-5727509.205392955
30000039,QR Mean,101,39,historical,13938766.05036187,4,-13938766.05036187
30000040,QR Mean,101,40,historical,2567571.0841953326,4,-2567571.0841953326
30000041,QR Mean,101,41,historical,3589707.2957782233,4,-3589707.2957782233
30000042,QR Mean,101,42,historical,6010914.007400878,4,-6010914.007400878
30000043,QR Mean,101,43,historical,9281754.848256985,4,-9281754.848256985
30000044,QR Mean,101,44,historical,8323337.071122221,4,-8323337.071122221
30000045,QR Mean,101,45,historical,7155818.88915821,4,-7155818.88915821
30000046,QR Mean,101,46,historical,9369699.602881156,4,-9369699.602881156
30000047,QR Mean,101,47,historical,11183586.446190307,4,-11183586.446190307
30000048,QR Mean,101,48,historical,8055861.312902009,4,-8055861.312902009
30000049,QR Mean,101,49,historical,7957693.026135292,4,-7957693.026135292
30000050,QR Mean,101,50,historical,6644358.487473263,4,-6644358.487473263
30000051,QR Mean,101,51,historical,6845642.267893482,4,-6845642.267893482
30000052,QR Mean,101,52,historical,3646873.903951627,4,-3646873.903951627
30000053,QR Mean,101,53,historical,6207074.906959971,4,-6207074.906959971
30000054,QR Mean,101,54,historical,7521255.114807548,4,-7521255.114807548
30000055,QR Mean,101,55,historical,8222316.3739396855,4,-8222316.3739396855
30000056,QR Mean,101,56,historical,2264205.469160979,4,-2264205.469160979
30000057,QR Mean,101,57,historical,4251078.376119829,4,-4251078.376119829
30000058,QR Mean,101,58,historical,6832357.668976477,4,-6832357.668976477
30000059,QR Mean,101,59,historical,8218824.178259998,4,-8218824.178259998
30000060,QR Mean,101,60,historical,10038734.571860254,4,-10038734.571860254
30000061,QR Mean,101,61,historical,8716442.757434756,4,-8716442.757434756
30000062,QR Mean,101,62,historical,7861586.582239095,4,-7861586.582239095
30000063,QR Mean,101,63,historical,9762042.762233395,4,-9762042.762233395
30000064,QR Mean,101,64,historical,5619455.812230561,4,-5619455.812230561
30000065,QR Mean,101,65,historical,7928118.95233524,4,-7928118.95233524
